Disease:sickle-cell_disease	Target:humanized_igg2	Drug:selg2
Disease:attention_deficit_hyperactivity_disorder	Target:nicotinic_ach_receptor	Drug:nd-0801
Disease:attention_deficit_hyperactivity_disorder	Target:adrenergic_receptor	Drug:ar08
Disease:breast_cancer	Target:cypxix	Drug:ym-511
Disease:breast_cancer	Target:cytochrome_p450_19	Drug:ym-511
Disease:breast_cancer	Target:estrogen_synthetase	Drug:ym-511
Disease:breast_cancer	Target:p-450arom	Drug:ym-511
Disease:breast_cancer	Target:aromatase	Drug:ym-511
Disease:breast_cancer	Target:estradiol_receptor	Drug:acolbifene
Disease:breast_cancer	Target:estrogen_receptor_alpha	Drug:acolbifene
Disease:breast_cancer	Target:er-alpha	Drug:acolbifene
Disease:breast_cancer	Target:eralpha	Drug:acolbifene
Disease:breast_cancer	Target:er	Drug:acolbifene
Disease:breast_cancer	Target:oestrogen_receptor_alpha	Drug:acolbifene
Disease:breast_cancer	Target:oestrogen_receptor	Drug:acolbifene
Disease:breast_cancer	Target:estrogen_receptor	Drug:acolbifene
Disease:breast_cancer	Target:estradiol_receptor	Drug:afimoxifene
Disease:breast_cancer	Target:estrogen_receptor_alpha	Drug:afimoxifene
Disease:breast_cancer	Target:er-alpha	Drug:afimoxifene
Disease:breast_cancer	Target:eralpha	Drug:afimoxifene
Disease:breast_cancer	Target:er	Drug:afimoxifene
Disease:breast_cancer	Target:oestrogen_receptor_alpha	Drug:afimoxifene
Disease:breast_cancer	Target:oestrogen_receptor	Drug:afimoxifene
Disease:breast_cancer	Target:estrogen_receptor	Drug:afimoxifene
Disease:breast_cancer	Target:complement-associated_protein_sp-40,40	Drug:ogx-011
Disease:breast_cancer	Target:apo-j	Drug:ogx-011
Disease:breast_cancer	Target:apolipoprotein_j	Drug:ogx-011
Disease:breast_cancer	Target:testosterone-repressed_prostate_message_2	Drug:ogx-011
Disease:breast_cancer	Target:cli	Drug:ogx-011
Disease:breast_cancer	Target:trpm-2	Drug:ogx-011
Disease:breast_cancer	Target:mrna_of_clusterin	Drug:ogx-011
Disease:breast_cancer	Target:complement_cytolysis_inhibitor	Drug:ogx-011
Disease:breast_cancer	Target:na1/na2	Drug:ogx-011
Disease:breast_cancer	Target:erbb2	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:epidermal_growth_factor_receptor_2	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:receptor_protein-tyrosine_kinase_erbb-2	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:erb2	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:c-erbb-2_oncoprotein	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:neu_proto-oncogene	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:tyrosine_kinase_receptor_erbb2	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:p185erbb2	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:her2_(erbb2/neu)	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:her-2	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:tyrosine_kinase-type_cell_surface_receptor_her2	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:mln_19	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:c-erbb-2	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:her2/neu	Drug:trastuzumab-dm1
Disease:breast_cancer	Target:erbb2	Drug:pf-05280014
Disease:breast_cancer	Target:epidermal_growth_factor_receptor_2	Drug:pf-05280014
Disease:breast_cancer	Target:receptor_protein-tyrosine_kinase_erbb-2	Drug:pf-05280014
Disease:breast_cancer	Target:erb2	Drug:pf-05280014
Disease:breast_cancer	Target:c-erbb-2_oncoprotein	Drug:pf-05280014
Disease:breast_cancer	Target:neu_proto-oncogene	Drug:pf-05280014
Disease:breast_cancer	Target:tyrosine_kinase_receptor_erbb2	Drug:pf-05280014
Disease:breast_cancer	Target:p185erbb2	Drug:pf-05280014
Disease:breast_cancer	Target:her2_(erbb2/neu)	Drug:pf-05280014
Disease:breast_cancer	Target:her-2	Drug:pf-05280014
Disease:breast_cancer	Target:tyrosine_kinase-type_cell_surface_receptor_her2	Drug:pf-05280014
Disease:breast_cancer	Target:mln_19	Drug:pf-05280014
Disease:breast_cancer	Target:c-erbb-2	Drug:pf-05280014
Disease:breast_cancer	Target:her2/neu	Drug:pf-05280014
Disease:breast_cancer	Target:heat_shock_protein_hsp_90	Drug:medi-561
Disease:breast_cancer	Target:cypxix	Drug:fadrozole
