TTDDRUGID	LNM	Indication	ICD9	ICD10
DAP000001	Quetiapine	Schizophrenia	295, 710.0	F20, M32
DAP000002	Theophylline	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DAP000003	Risperidone	Schizophrenia	295, 710.0	F20, M32
DAP000004	Dasatinib	Chronic myelogenous leukemia	205.1, 208.9	C91-C95, C92.1
DAP000004	Dasatinib	Solid tumours; Multiple myeloma	140-199, 203.0, 210-229	C00-C75, C7A, C7B, C90.0, D10-D36, D3A
DAP000005	Sunitinib	Advanced renal cell carcinoma	189	C64
DAP000005	Sunitinib	Gastrointestinal cancer	.	C15-C26
DAP000006	Sorafenib	Advanced renal cell carcinoma	189	C64
DAP000006	Sorafenib	Hepatocellular carcinoma; NSCLC; Melanoma	155, 162, 172	C22.0, C33, C34, C43
DAP000006	Sorafenib	Myelodysplastic syndromes; AML; Head and neck cancer; Breast cancer; Pancreatic cancer	140-149, 140-229, 157, 183, 205.0	C00-C96, C07-C14, C25, C32, C33, C56, C92.0
DAP000007	Dexamethasone	Rheumatold arthritis	714	M05-M06
DAP000008	Eletriptan	Migraine	346	G43
DAP000009	Isotretinoin	Acne vulgaris	706.1	L70.0
DAP000010	Mirtazapine	Depression	311	F32
DAP000011	Isoniazid	Tuberculosis	010-018	A15-A19
DAP000012	Disulfiram	Alcohol use disorders	303	F10.2
DAP000013	Dipyridamole	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000014	Cyclosporine	Psoriasis	696	L40
DAP000015	L-Glutamic Acid	Indigestion	.	K30
DAP000015	L-Glutamic Acid	Schizophrenia	295, 710.0	F20, M32
DAP000016	Norepinephrine	Septic shock; Neurogenic shock	785, 785.52	R57.8, R65.21
DAP000017	Dextropropoxyphene	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000018	Vasopressin	Enuresis; Polyuria; Diabetes insipidus	250, 253.5, 307.6, 588.1, 788.30, 788.42	E08-E13, E23.2, F98.0, N25.1, R32, R35
DAP000019	Pramipexole	Parkinson's disease	332	F02.3, G20
DAP000020	Leuprolide	Prostate cancer	140-229, 185	C00-C96, C61
DAP000022	Olanzapine	Schizophrenia	295, 710.0	F20, M32
DAP000023	Goserelin	Breast cancer; Prostate cancer	174, 175, 185	C50, C61
DAP000024	Methylphenidate	Attention deficit hyperactivity disorder	314.00, 314.01	F90
DAP000024	Methylphenidate	Traumatic brain injury	800.0-801.9, 803.0-804.9, 850.0-854.1	S06
DAP000025	Pindolol	Hypertension; Angina	401, 413	I10, I11, I12, I13, I15, I20
DAP000026	Flupenthixol	Schizophrenia	295, 710.0	F20, M32
DAP000027	Mecamylamine	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000028	Becaplermin	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000029	Clozapine	Schizophrenia	295, 710.0	F20, M32
DAP000030	Bosentan	Pulmonary arterial hypertension	416	I27.0, I27.2
DAP000031	Buspirone	Anxiety disorder	300, 311	F32, F40-F42
DAP000032	Tetracycline	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000033	Mitotane	Adrenocortical carcinoma	194	C74.0
DAP000034	Trifluoperazine	Schizophrenia	295, 710.0	F20, M32
DAP000035	Trichlormethiazide	Oedema and hypertension	401, 782.3	I10, I11, I12, I13, I15, R60.9
DAP000036	Neomycin	Acute hepatic failure and alcoholic cirrhosis of the liver	570, 571.1	K71, K72
DAP000037	Glibenclamide	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000038	Labetalol	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000039	Lamotrigine	Epilepsy; Bipolar disorder	296, 345	F31, G40
DAP000040	Verapamil	Hypertension; Angina	401, 413	I10, I11, I12, I13, I15, I20
DAP000041	Carmustine	Brain cancer	191, 225.0	C71, D33
DAP000042	Nefazodone	Depression	311	F32
DAP000043	Furosemide	Edema associated with congestive heart failure	428.0, 782.3	I50, R60.9
DAP000044	Dutasteride	Benign prostatic hyperplasia	600	N40
DAP000044	Dutasteride	Prostate cancer	140-229, 185	C00-C96, C61
DAP000045	Finasteride	Benign prostatic hyperplasia	600	N40
DAP000046	Amsacrine	Acute lymphoblastic leukemia	189, 204.0	C64, C91.0
DAP000047	Bethanidine	Heart arrhythmia	.	I47-I49
DAP000047	Bethanidine	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000048	Pentoxifylline	Intermittent claudication	440.21	I73.9
