TTDTargetID	Target_Name	Indication	ICD9	ICD10
TTDS00001	Muscarinic acetylcholine receptor	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDS00001	Muscarinic acetylcholine receptor	Glaucoma	365	H40-H42
TTDS00001	Muscarinic acetylcholine receptor	Histamine induced bronchospasm	728.85	R25.2
TTDS00001	Muscarinic acetylcholine receptor	Motion sickness	994.6	T75.3
TTDS00001	Muscarinic acetylcholine receptor	Obstructive airway disease	.	.
TTDS00001	Muscarinic acetylcholine receptor	Organophosphate poisoning	989.3	T60.0
TTDS00001	Muscarinic acetylcholine receptor	Schizophrenia	295, 710.0	F20, M32
TTDS00001	Muscarinic acetylcholine receptor	Urinary incontinence	788.3	N39.3, N39.4, R32
TTDS00001	Muscarinic acetylcholine receptor	Xerostomia	527.7	K11.7, R68.2
TTDC00001	RNA-dependent RNA polymerase	Hepatitis C infection	070.4, 070.5, 070.70	B17.1, B18.2
TTDC00001	RNA-dependent RNA polymerase	Influenza A virus infections	487, 488	J10, J11
TTDC00001	RNA-dependent RNA polymerase	Severe acute respiratory syndrome	.	.
TTDC00002	Hemagglutinin	Influenza A virus infections	487, 488	J10, J11
TTDS00002	Muscarinic acetylcholine receptor M1	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDS00002	Muscarinic acetylcholine receptor M1	Cognitive deficits	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, R41.3
TTDS00002	Muscarinic acetylcholine receptor M1	Histamine induced bronchospasm	728.85	R25.2
TTDS00002	Muscarinic acetylcholine receptor M1	Schizophrenia	295, 710.0	F20, M32
TTDR00003	K(ATP) channels	Non-insulin-dependent diabetes mellitus	250	E08-E13
TTDS00003	Muscarinic acetylcholine receptor M2	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDS00003	Muscarinic acetylcholine receptor M2	Analgesics	338	R52
TTDS00003	Muscarinic acetylcholine receptor M2	Autoimmune cardiomyopathy	.	.
TTDS00003	Muscarinic acetylcholine receptor M2	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
TTDS00003	Muscarinic acetylcholine receptor M2	Cold air-induced bronchoconstriction	493	J45
TTDS00003	Muscarinic acetylcholine receptor M2	Hypothermia	991.6	T68
TTDS00003	Muscarinic acetylcholine receptor M2	Neurogenic bladder	188	C67
TTDS00003	Muscarinic acetylcholine receptor M2	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDS00003	Muscarinic acetylcholine receptor M2	Tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDS00004	Muscarinic acetylcholine receptor M3	Airway hyperreactivity	.	.
TTDS00004	Muscarinic acetylcholine receptor M3	Urge incontinence	787.6, 788.3	N39.3-N39.4, R15, R32
TTDR00004	Prokaryotic primase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR00005	Kallikrein	Clotting disorders	286	D65-D69
TTDS00005	Muscarinic acetylcholine receptor M4	Analgesics	338	R52
TTDS00005	Muscarinic acetylcholine receptor M4	Manic disorder	.	.
TTDS00005	Muscarinic acetylcholine receptor M4	Neurologic and psychiatric diseases	.	.
TTDS00005	Muscarinic acetylcholine receptor M4	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDS00005	Muscarinic acetylcholine receptor M4	Parkinson's disease	332	F02.3, G20
TTDC00005	Serine/threonine-protein kinase Chk1	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDC00006	Aurora kinase A	Colorectal cancer	153, 154	C18-C21
TTDC00006	Aurora kinase A	Lymphoma	202.8, 208.9	C81-C96, C91-C95
TTDC00006	Aurora kinase A	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR00006	Follicle stimulating hormone	Psychosis	290-299	F20-F29
TTDR00006	Follicle stimulating hormone	Respiratory diseases	.	.
TTDR00006	Follicle stimulating hormone	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
TTDS00006	Muscarinic acetylcholine receptor M5	Opioid dependence	304	F11.2
TTDS00006	Muscarinic acetylcholine receptor M5	Schizophrenia	295, 710.0	F20, M32
TTDR00007	Multidrug resistance protein 1	Cancer	140-229	C00-C96
TTDC00007	Toll-like receptor 3	HPV-related diseases	.	.
TTDC00007	Toll-like receptor 3	HPV-related high-grade anal intraepithelial neoplasia	154	C21
TTDC00007	Toll-like receptor 3	Human papillomavirus infections	078.1079.4	B97.7
TTDS00007	Vascular endothelial growth factor receptor 1	Angiogenesis	.	.
TTDS00007	Vascular endothelial growth factor receptor 1	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDR00008	Glucose-6-phosphate dehydrogenase	Systemic lupus erythematosus	695, 710.0	L51-L54, M32
